datetime,carbon_intensity,SMR,SMR-CCS,AE operation,PEM operation,SOEC operation,MP-E
2023-01-15 14:30:00,116.0,10.56354526524166,3.1229489530406243,10.597639851505338,11.052867616516835,10.229456231984281,4.533116304297063
2023-01-15 15:00:00,131.0,10.545673036052444,3.1221365789920714,11.439259340869073,11.930231575880104,10.916724654422998,4.70030288037816
2023-01-15 15:30:00,148.0,10.517301154872507,3.120846948038082,12.775316969614982,13.323032985434205,12.007752405562169,4.96570892577039
2023-01-15 16:00:00,162.0,10.483652943300333,3.11931748388607,14.359841784150502,14.97485424499323,13.301679035545641,5.2804726423972514
2023-01-15 16:30:00,174.0,10.453249123905621,3.1179354921047615,15.791585227163567,16.467405346565265,14.470844044022877,5.56488654569799
2023-01-15 17:00:00,179.0,10.427246100862703,3.116753536519908,17.016091176790844,17.7439173591864,15.470778435874227,5.80813300053459
2023-01-15 17:30:00,182.0,10.417691784330646,3.116319249407756,17.466012611649166,18.212947433321354,15.838185320653242,5.897509286552307
2023-01-15 18:00:00,185.0,10.40990448828547,3.115965281408099,17.832723448427124,18.595232867253223,16.137642238498746,5.970355899525931
2023-01-15 18:30:00,187.0,10.412442509013415,3.116080645985861,17.71320574940753,18.47063912512743,16.0400438089272,5.946613869864423
2023-01-15 19:00:00,193.0,10.411305039901773,3.116028942844773,17.76677020198768,18.526478516670487,16.083784664847002,5.957254376102348
2023-01-15 19:30:00,199.0,10.407600553770777,3.1158605571126876,17.94121781526031,18.70833510461388,16.22623898949996,5.991908159120872
2023-01-15 20:00:00,196.0,10.420839895537696,3.116462345370743,17.317765198386507,18.05840379559759,15.717126139953097,5.868060137917451
2023-01-15 20:30:00,188.0,10.433949606457492,3.117058241317606,16.700417015727584,17.414836182574724,15.212998185511166,5.745424754334949
2023-01-15 21:00:00,190.0,10.445287923449579,3.117573619359211,16.16648538044591,16.85822790593632,14.776988376675133,5.639359955346499
2023-01-15 21:30:00,186.0,10.455700006438851,3.1180468958555174,15.676170944800269,16.347089297541885,14.376596473987778,5.541959654219084
2023-01-15 22:00:00,182.0,10.458998638581315,3.11819683367916,15.520835364109761,16.185156450421555,14.249749079364728,5.511102450687771
2023-01-15 22:30:00,179.0,10.4682381102953,3.1186168096633136,15.085740257417225,15.731582394293241,13.894449408472541,5.424671394757071
2023-01-15 23:00:00,164.0,10.484856762783599,3.11937220295312,14.303152832365711,14.915757653459146,13.25538670634555,5.269211458607782
