datetime,carbon_intensity,custom_electricity_score,custom_electricity_input_kwh_per_kwh,REP_SEASON,REP_KIND,AE operation
2023-03-24 00:00:00,65.0,0.13473338441092356,1.0316426921769999,Spring,top10,7.1613905978316055
2023-03-24 00:30:00,65.0,0.13394118308644715,1.0316426921769999,Spring,top10,7.120354569223728
2023-03-24 01:00:00,66.0,0.12830807101729771,1.0306110494848228,Spring,top10,6.828559364041787
2023-03-24 01:30:00,62.0,0.12188887479658819,1.0316426921769999,Spring,top10,6.496044999809034
2023-03-24 02:00:00,62.0,0.10895688489412596,1.0316426921769999,Spring,top10,5.82616792286149
2023-03-24 02:30:00,57.0,0.10081190623930214,1.0316426921769999,Spring,top10,5.404258028541617
2023-03-24 03:00:00,59.0,0.10411042851689617,1.031642692177,Spring,top10,5.575121482520987
2023-03-24 03:30:00,58.0,0.10041333754518368,1.031642692177,Spring,top10,5.3836121701862805
2023-03-24 04:00:00,59.0,0.09937656639996482,1.0316426921769999,Spring,top10,5.3299074248639435
2023-03-24 04:30:00,59.0,0.09884716059729672,1.0316426921769999,Spring,top10,5.302484204285736
2023-03-24 05:00:00,60.0,0.1050049961060778,1.0316426921769999,Spring,top10,5.621460083640596
2023-03-24 05:30:00,60.0,0.10278271626937986,1.0316426921769999,Spring,top10,5.506345988099643
2023-03-24 06:00:00,57.0,0.1118384122200361,1.030611049484823,Spring,top10,5.975431038343635
2023-03-24 06:30:00,59.0,0.12307527636389475,1.029579406792646,Spring,top10,6.557500600995513
2023-03-24 07:00:00,51.0,0.11379117142657806,1.0295794067926458,Spring,top10,6.076583965242509
2023-03-24 07:30:00,48.0,0.11945885116437815,1.0316426921769999,Spring,top10,6.370169775660554
2023-03-24 08:00:00,46.0,0.11776810690752472,1.0306110494848228,Spring,top10,6.282589223155546
2023-03-24 08:30:00,42.0,0.10987216789672617,1.0295794067926458,Spring,top10,5.873579582396181
2023-03-24 09:00:00,39.0,0.10376104221035182,1.032674334869177,Spring,top10,5.55702327184199
2023-03-24 09:30:00,37.0,0.10030701781543605,1.032674334869177,Spring,top10,5.378104808185353
2023-03-24 10:00:00,35.0,0.09867372782011365,1.032674334869177,Spring,top10,5.293500386427652
2023-03-24 10:30:00,33.0,0.0950572513397319,1.0306110494848228,Spring,top10,5.106166904743878
2023-03-24 11:00:00,33.0,0.09684148674845647,1.032674334869177,Spring,top10,5.198590298915811
2023-03-24 11:30:00,34.0,0.09661475179368763,1.0316426921769999,Spring,top10,5.186845428258785
2023-03-24 12:00:00,36.0,0.09756937835896083,1.0316426921769999,Spring,top10,5.236295084339937
2023-03-24 12:30:00,36.0,0.1018050186102133,1.032674334869177,Spring,top10,5.4557012493548145
2023-03-24 13:00:00,38.0,0.1006478332458651,1.032674334869177,Spring,top10,5.395759047481578
