datetime,carbon_intensity,custom_electricity_score,custom_electricity_input_kwh_per_kwh,REP_SEASON,REP_KIND,PEM operation
2025-01-01 23:00:00,62.0,0.13456752922068288,1.0316426921769997,Winter,top10,7.461720934656576
2025-01-01 23:30:00,60.0,0.1288908910956401,1.0326743348691767,Winter,top10,7.155182475904264
2025-01-21 00:00:00,258.0,0.38248542059530244,1.031642692177,Winter,bottom10,20.84928706888603
2025-01-21 00:30:00,258.0,0.3830696774568226,1.0326743348691771,Winter,bottom10,20.88083693940812
2025-01-21 01:00:00,257.0,0.3807410652658841,1.032674334869177,Winter,bottom10,20.75509188109744
2025-01-21 01:30:00,254.0,0.3766232057966411,1.033705977561354,Winter,bottom10,20.532727469758317
2025-01-21 02:00:00,251.0,0.3731625392506528,1.030611049484823,Winter,bottom10,20.345851476274948
2025-01-21 02:30:00,248.0,0.3687199569493877,1.030611049484823,Winter,bottom10,20.105952032006634
2025-01-21 03:00:00,250.0,0.37181428988147097,1.0306110494848228,Winter,bottom10,20.273046010339133
2025-01-21 03:30:00,252.0,0.3743147252297718,1.0316426921769999,Winter,bottom10,20.40806951914738
2025-01-21 04:00:00,253.0,0.37595677932493277,1.0316426921769999,Winter,bottom10,20.496740440286068
2025-01-21 04:30:00,256.0,0.3798968934085471,1.032674334869177,Winter,bottom10,20.70950660080124
2025-01-21 05:00:00,256.0,0.3790911649284861,1.0316426921769997,Winter,bottom10,20.665997262877948
2025-01-21 05:30:00,255.0,0.37745894919014544,1.0295794067926456,Winter,bottom10,20.577857613007552
2025-01-21 06:00:00,262.0,0.3863659330747828,1.032674334869177,Winter,bottom10,21.058834742777968
2025-01-21 06:30:00,267.0,0.403212385300688,1.032674334869177,Winter,bottom10,21.96854316297685
2025-01-21 07:00:00,270.0,0.4131765062666349,1.0326743348691771,Winter,bottom10,22.50660569513798
2025-01-21 07:30:00,267.0,0.4281557441769461,1.031642692177,Winter,bottom10,23.315484542294787
2025-01-21 08:00:00,265.0,0.4213352168719009,1.0326743348691771,Winter,bottom10,22.947176067822348
2025-01-21 08:30:00,263.0,0.4286543096922761,1.030611049484823,Winter,bottom10,23.34240708012261
2025-01-21 09:00:00,262.0,0.4195215622115173,1.0316426921769997,Winter,bottom10,22.849238716161633
2025-01-21 09:30:00,260.0,0.4168212574511049,1.032674334869177,Winter,bottom10,22.703422259099362
2025-01-21 10:00:00,255.0,0.40100324661140907,1.030611049484823,Winter,bottom10,21.84924967375579
2025-01-21 10:30:00,252.0,0.3988264220392407,1.0326743348691767,Winter,bottom10,21.731701146858697
2025-01-21 11:00:00,241.0,0.3710130962421816,1.0316426921769999,Winter,bottom10,20.229781553817507
2025-01-21 11:30:00,238.0,0.36470472281504507,1.0316426921769999,Winter,bottom10,19.88912938875213
2025-01-21 12:00:00,241.0,0.37169726044358536,1.0316426921769999,Winter,bottom10,20.26672642069331
2025-01-21 12:30:00,243.0,0.38095316785106437,1.032674334869177,Winter,bottom10,20.766545420697174
2025-01-21 13:00:00,241.0,0.37826306050962133,1.0295794067926458,Winter,bottom10,20.62127962425925
2025-01-21 13:30:00,247.0,0.38710699553798295,1.0337059775613537,Winter,bottom10,21.098852115790777
2025-01-21 14:00:00,252.0,0.40427490383744,1.0295794067926458,Winter,bottom10,22.02591916396146
2025-01-21 14:30:00,258.0,0.4110955165190239,1.0326743348691771,Winter,bottom10,22.39423224876699
2025-01-21 15:00:00,264.0,0.4205182842645985,1.031642692177,Winter,bottom10,22.903061707028016
2025-01-21 15:30:00,264.0,0.42454799841416935,1.0316426921769999,Winter,bottom10,23.120666271104845
2025-01-21 16:00:00,256.0,0.4292713852671259,1.032674334869177,Winter,bottom10,23.375729161164497
2025-01-21 16:30:00,255.0,0.44267580762127184,1.031642692177,Winter,bottom10,24.09956796828838
2025-01-21 17:00:00,256.0,0.45114737641978847,1.031642692177,Winter,bottom10,24.557032683408277
2025-01-21 17:30:00,255.0,0.45799873849702,1.030611049484823,Winter,bottom10,24.92700623557878
2025-01-21 18:00:00,257.0,0.45384022245006284,1.031642692177,Winter,bottom10,24.70244636904309
2025-01-21 18:30:00,254.0,0.4389066026397955,1.029579406792646,Winter,bottom10,23.896030899288654
2025-01-21 19:00:00,256.0,0.4340698412167162,1.0316426921769999,Winter,bottom10,23.634845782442376
2025-01-21 19:30:00,264.0,0.43110705984413744,1.0316426921769997,Winter,bottom10,23.47485558832312
2025-01-21 20:00:00,267.0,0.4298230450698857,1.0306110494848228,Winter,bottom10,23.40551879051353
2025-01-21 20:30:00,264.0,0.4251451353797273,1.0316426921769999,Winter,bottom10,23.152911667244975
2025-01-21 21:00:00,266.0,0.4123746478875367,1.0316426921769999,Winter,bottom10,22.46330534266668
2025-01-21 21:30:00,266.0,0.4005280509853592,1.0306110494848228,Winter,bottom10,21.823589109949097
2025-01-21 22:00:00,275.0,0.4129482616744238,1.0295794067926458,Winter,bottom10,22.494280487158584
2025-01-21 22:30:00,278.0,0.41784535936240474,1.0316426921769999,Winter,bottom10,22.758723762309554
2025-01-21 23:00:00,275.0,0.41264945651720675,1.0316426921769997,Winter,bottom10,22.478145008668864
2025-01-21 23:30:00,274.0,0.4124351565593657,1.032674334869177,Winter,bottom10,22.466572810945447
2025-05-14 00:00:00,121.0,0.21867167396584833,1.032674334869177,Spring,avg,12.00334475089551
2025-05-14 00:30:00,118.0,0.21737427180555266,1.031642692177,Spring,avg,11.933285034239542
2025-05-14 01:00:00,117.0,0.21789778954879646,1.0316426921769999,Spring,avg,11.961554992374708
2025-05-14 01:30:00,116.0,0.2183069968474284,1.0316426921769999,Spring,avg,11.983652186500834
2025-05-14 02:00:00,112.0,0.21035550663241984,1.032674334869177,Spring,avg,11.55427171489037
2025-05-14 02:30:00,110.0,0.20464268810357478,1.0316426921769999,Spring,avg,11.245779514332737
2025-05-14 03:00:00,109.0,0.2019090734416005,1.0306110494848228,Spring,avg,11.098164322586126
